time [s],phi [rad],torque [Nm],torque_comp [Nm],emg_quad [mV],emg_hams [mV],phase
4.797,4.797,21.724390029907227,0.0658563420113255,0.2448095979159903,0.27245550365105564,e
4.798,4.798,21.914941787719727,0.00030413994340536157,0.23865496800613864,0.2732445402420347,e
4.799,4.799,22.344688415527344,0.05044572200414321,0.23499991813300383,0.2700354113338244,e
4.8,4.8,22.811079025268555,0.07997627529981474,0.23169497201205486,0.26062881366030183,e
4.801,4.801,24.01363182067871,0.002532470028286037,0.23032537137221046,0.2649066263756661,e
4.802,4.802,26.26545524597168,-0.05665941122281348,0.22840048616013595,0.2593822812713092,e
4.803,4.803,30.59787368774414,0.4758078246276952,0.23455811905725008,0.25652841679386607,e
4.804,4.804,34.635589599609375,0.4076514895299286,0.23637206292000315,0.2609672902405583,e
4.805,4.805,39.07826614379883,-0.09034359140913224,0.23411914569484898,0.25722318407860506,e
4.806,4.806,44.51493453979492,-0.16395737366510332,0.22060343558953102,0.25465642099360053,e
4.807,4.807,49.15943908691406,-0.17086933478221478,0.20764222540977986,0.23550099884195508,e
4.808,4.808,52.938316345214844,-0.3979990828131727,0.2132874784165908,0.23960010738402523,e
4.809,4.809,54.69159698486328,-0.0012966964466211012,0.22130622959566598,0.2457516331342085,e
4.81,4.81,53.958858489990234,0.015736915427569068,0.2253682727018728,0.2522171263921121,e
4.811,4.811,51.587162017822266,-0.5056713360503159,0.22973450296806366,0.25703176139328776,e
4.812,4.812,48.920509338378906,-0.6262501525525048,0.22647249887877566,0.2610500048263283,e
4.813,4.813,46.06947326660156,-0.5960913571354199,0.22244746346964994,0.25314187950325706,e
4.814,4.814,42.978912353515625,-0.40300533565483754,0.21880001735341595,0.25474508493537407,e
4.815,4.815,39.832847595214844,-0.3258104977134554,0.2187406579033729,0.25465459557264214,e
4.816,4.816,37.6809196472168,-0.18547816536496647,0.23072911939506774,0.2595108769168244,e
4.817,4.817,35.21581268310547,-0.3655712981720534,0.24262043282621087,0.27937412700189046,e
4.818,4.818,33.266056060791016,-0.5554571310881339,0.2404592732887529,0.271994992118673,e
4.819,4.819,31.97899627685547,-0.5416087997946686,0.23412792327652587,0.27162312286770807,e
4.82,4.82,31.465139389038086,-0.4508654172793694,0.2311652142945577,0.2660475458731524,e
4.821,4.821,31.319433212280273,-0.7998142979409009,0.22787343770621696,0.25252301507981695,e
4.822,4.822,31.68912696838379,-1.1507491261075948,0.2296608579946561,0.2562072953966692,e
4.823,4.823,33.40275192260742,-1.1196988392003433,0.22955101593186555,0.25705230105970367,e
4.824,4.824,35.502952575683594,-1.0164076131598168,0.23243282399841947,0.26016836900302776,e
4.825,4.825,37.63990783691406,-1.2975473373495479,0.23329580698109353,0.2617776625896657,e
4.826,4.826,40.0344123840332,-1.5202788051754057,0.21892315649061508,0.2540375411575699,e
4.827,4.827,42.87064743041992,-1.6369379394536459,0.2089638606196401,0.23844242845024888,e
4.828,4.828,45.227970123291016,-1.7535970737318862,0.21050552076768064,0.24174037579040736,e
4.829,4.829,48.17435836791992,-1.870256208010023,0.2208398111805834,0.2467760406548838,e
4.83,4.83,50.32878875732422,-1.9869153422882633,0.22637014821867552,0.254268081117431,sf
4.831,4.831,52.483028411865234,-1.5484856275949554,0.22781338484428942,0.25906127109995647,f
4.832,4.832,53.79005813598633,-1.1100559129020369,0.22618554100248203,0.2581852791682117,f
4.833,4.833,53.82649612426758,-0.671626198208729,0.22457894134833906,0.250923178979194,f
4.834,4.834,53.052459716796875,-0.23319648351581046,0.21878278900500675,0.2545870048237105,f
4.835,4.835,53.19892120361328,0.28690116751469885,0.21754396757211192,0.25126592347539445,f
4.836,4.836,51.577537536621094,0.4979882052595823,0.22987381344422353,0.2621624008586516,f
4.837,4.837,50.34261703491211,0.4648644727072824,0.24241103889793772,0.27950186242099234,f
4.838,4.838,48.83140563964844,0.3275785015396794,0.24143400949009397,0.2724431585217397,f
4.839,4.839,47.688194274902344,0.23012408020653502,0.23632338031831268,0.2747244408398787,f
4.84,4.84,47.355018615722656,0.4489541496144066,0.23024710941211507,0.26126270547796276,f
4.841,4.841,46.67182159423828,0.17027821549926092,0.23051088779819823,0.25344139257400977,f
4.842,4.842,46.83543395996094,0.16905192694627616,0.22780564604259304,0.2555869800040408,f
4.843,4.843,46.630619049072266,-0.09611739951337595,0.2298617174453837,0.254503699574048,f
